shortcut	category	emojiCheatSheetFile	githubFile	unicodeChars	unicodeSampleFile	unicodeCldr	subcategory	aliasShortcuts	browserTypes
denmark	github	 	unicode/1f1e9-1f1f0.png?v8	U+1F1E9 U+1F1F0	1f1e9-1f1f0.png	 	custom	 	 
department_store	github	department_store.png	unicode/1f3ec.png?v8	U+1F3EC	1f3ec.png	 	custom	 	 
dependabot	github	 	dependabot.png?v8	 	dependabot.png	 	custom	 	 
derelict_house	github	 	unicode/1f3da.png?v8	U+1F3DA	1f3da.png	 	custom	 	 
desert	github	 	unicode/1f3dc.png?v8	U+1F3DC	1f3dc.png	 	custom	 	 
desert_island	github	 	unicode/1f3dd.png?v8	U+1F3DD	1f3dd.png	 	custom	 	 
desktop_computer	github	 	unicode/1f5a5.png?v8	U+1F5A5	1f5a5.png	 	custom	 	 
detective	github	 	unicode/1f575.png?v8	U+1F575	1f575.png	 	custom	 	 
diamond_shape_with_a_dot_inside	github	diamond_shape_with_a_dot_inside.png	unicode/1f4a0.png?v8	U+1F4A0	1f4a0.png	 	custom	 	 
diamonds	github	diamonds.png	unicode/2666.png?v8	U+2666	2666.png	 	custom	 	 
diego_garcia	github	 	unicode/1f1e9-1f1ec.png?v8	U+1F1E9 U+1F1EC	1f1e9-1f1ec.png	 	custom	 	 
disappointed	github	disappointed.png	unicode/1f61e.png?v8	U+1F61E	1f61e.png	 	custom	 	 
disappointed_relieved	github	disappointed_relieved.png	unicode/1f625.png?v8	U+1F625	1f625.png	 	custom	 	 
disguised_face	github	 	unicode/1f978.png?v8	U+1F978	1f978.png	 	custom	 	 
diving_mask	github	 	unicode/1f93f.png?v8	U+1F93F	1f93f.png	 	custom	 	 
diya_lamp	github	 	unicode/1fa94.png?v8	U+1FA94	1fa94.png	 	custom	 	 
dizzy	github	dizzy.png	unicode/1f4ab.png?v8	U+1F4AB	1f4ab.png	 	custom	 	 
dizzy_face	github	dizzy_face.png	unicode/1f635.png?v8	U+1F635	1f635.png	 	custom	 	 
djibouti	github	 	unicode/1f1e9-1f1ef.png?v8	U+1F1E9 U+1F1EF	1f1e9-1f1ef.png	 	custom	 	 
dna	github	 	unicode/1f9ec.png?v8	U+1F9EC	1f9ec.png	 	custom	 	 
